[2024-05-28 12:17:32] 	POST /api/payment/create-payment-urll [status: 500 - message: Không tìm thấy đường dẫn nha]
[2024-05-28 13:57:54] 	POST /api/auth/signup [status: 400 - message: Vui lòng nhập tên đăng nhập]
[2024-05-28 14:16:13] 	POST /api/auth/signup [status: 500 - message: E11000 duplicate key error collection: api-gateway.users index: _id_ dup key: { _id: "093213213212" }]
[2024-05-28 14:17:47] 	POST /api/auth/signup [status: 500 - message: E11000 duplicate key error collection: api-gateway.users index: _id_ dup key: { _id: "093213213212" }]
[2024-05-28 14:18:15] 	POST /api/auth/signup [status: 403 - message: Số điện thoại đã tồn tại]
[2024-05-28 14:33:20] 	POST /api/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 14:33:31] 	POST /api/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 14:38:43] 	POST /api/auth/signin [status: 500 - message: data and hash arguments required]
[2024-05-28 14:39:26] 	POST /api/auth/signin [status: 500 - message: data and hash arguments required]
[2024-05-28 14:57:39] 	POST /api/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 14:57:44] 	POST /api/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 15:25:06] 	PATCH /api/user/update [status: 400 - message: Tên người dùng quá ngắn]
[2024-05-28 17:41:10] 	POST /api/admin/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 17:43:12] 	POST /api/admin/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng]
[2024-05-28 18:12:41] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:13:17] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:13:50] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:14:34] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:15:09] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:15:51] 	POST /api/admin/create-employee [status: 500 - message: Cannot inherit non-existent role(s): "waitstaff"]
[2024-05-28 18:16:39] 	POST /api/admin/create-employee [status: 500 - message: validationResult is not defined]
[2024-05-28 18:59:09] 	POST /api/admin/create-employee [status: 500 - message: Account is not defined]
[2024-05-28 19:01:06] 	POST /api/admin/create-employee [status: 400 - message: Số điện thoại đã tồn tại]
[2024-05-28 19:22:29] 	GET /api/admin/get-resource-rbac [status: 500 - message: ENOENT: no such file or directory, open '/mnt/c/Users/Luu Duc Hai/Workspace/GreenFeast/api-gateway/backend/reference-data/resource.rbac.json']
