[2024-06-15 18:14:48] 	POST /api/order/apply-promotion [status: 500 - message: Đường dẫn đặt món không hợp lệ]
[2024-06-15 18:15:31] 	POST /api/order/apply-promotion [status: 500 - message: Không tìm thấy mã hóa đơn hợp lệ]
[2024-06-15 18:16:57] 	POST /api/order/apply-promotion [status: 500 - message: Thiếu mã khuyến mãi hoặc mã đơn hàng]
[2024-06-15 18:17:26] 	POST /api/order/apply-promotion [status: 500 - message: Thiếu mã khuyến mãi hoặc mã đơn hàng]
[2024-06-15 18:18:54] 	POST /api/order/apply-promotion [status: 500 - message: Không tìm thấy mã hóa đơn hợp lệ]
[2024-06-15 18:27:26] 	POST /api/order/apply-promotion [status: 500 - message: Hóa đơn của bạn còn thiếu 671000 để áp dụng chương trình khuyến mãi này]
[2024-06-15 18:29:47] 	POST /api/order/apply-promotion [status: 500 - message: Hóa đơn của bạn còn thiếu 671.000 để áp dụng chương trình khuyến mãi này]
[2024-06-15 18:32:42] 	POST /api/order/apply-promotion [status: 500 - message: promotionValue.toString(...).include is not a function]
[2024-06-15 18:37:14] 	POST /api/order/apply-promotion [status: 500 - message: connect ECONNREFUSED 127.0.0.1:5000]
[2024-06-15 18:38:06] 	POST /api/order/apply-promotion [status: 500 - message: Order validation failed: discount: Cast to Number failed for value "NaN" (type number) at path "discount", total: Cast to Number failed for value "NaN" (type number) at path "total"]
[2024-06-15 18:45:30] 	POST /api/order/apply-promotion [status: 500 - message: Hóa đơn của bạn còn thiếu 9.671.000 để áp dụng chương trình khuyến mãi này]
[2024-06-15 18:45:39] 	POST /api/order/apply-promotion [status: 500 - message: Hóa đơn của bạn còn thiếu 671.000 để áp dụng chương trình khuyến mãi này]
[2024-06-15 20:54:03] 	GET /api/notification/num-notification [status: 500 - message: Không tìm thấy đường dẫn dịch vụ hợp lệ !]
[2024-06-15 21:01:42] 	GET /api/notification/num-notification [status: undefined - message: undefined]
[2024-06-15 21:02:42] 	GET /api/notification/num-notification [status: undefined - message: undefined]
[2024-06-15 21:05:01] 	GET /api/notification/num-notification [status: 401 - message: Thiếu mã JWT]
[2024-06-15 21:19:58] 	GET /api/notification/get-notifications [status: 500 - message: Error is occured at getNotifications: Invalid sort value: { isRead: 0 }]
