[2024-07-29 01:49:06] 	GET /api/payment/vnpay_return?vnp_Amount=10050000&vnp_BankCode=VNPAY&vnp_CardType=QRCODE&vnp_OrderInfo=Thanh+toan+cho+ma+GD%3A66a68e854ef048afe0ccf152-1722191494103&vnp_PayDate=20240729013134&vnp_ResponseCode=15&vnp_TmnCode=CVPSQQMS&vnp_TransactionNo=0&vnp_TransactionStatus=02&vnp_TxnRef=66a68e854ef048afe0ccf152-1722191494103&vnp_SecureHash=6091820fcf3b14e723f6cc803a07a54da3303aa26580f7738aad992907c69dd9df2e6e853cb9f147778805f1668a6618ca1c010a5b237baa690883099d45934b [status: 500 - message: Đã xảy ra lỗi khi lưu giao dịch vào cơ sở dữ liệu]
[2024-07-29 10:33:18] 	POST /api/order/rating [status: 401 - message: Thiếu mã JWT]
[2024-07-29 10:33:40] 	POST /api/order/rating [status: 500 - message: orderMain.save is not a function]
[2024-07-29 10:34:38] 	POST /api/order/rating [status: 500 - message: orderDb.save is not a function]
[2024-07-29 10:35:31] 	POST /api/order/rating [status: 500 - message: orderDb.save is not a function]
[2024-07-29 10:36:08] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 10:36:27] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 10:36:36] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 10:41:38] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 10:44:07] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 10:57:41] 	GET /api/order/view-rating/:id [status: 500 - message: Không tìm thấy đường dẫn]
[2024-07-29 11:14:09] 	GET /api/order/view-rating/:id [status: 500 - message: Thiếu mã món ăn]
[2024-07-29 11:14:29] 	GET /api/order/view-rating/1 [status: 500 - message: Thiếu mã món ăn]
[2024-07-29 11:46:39] 	POST /api/order/rating [status: 500 - message: ]
[2024-07-29 11:46:44] 	POST /api/order/rating [status: 500 - message: Không tìm thấy đơn hàng hoặc đơn hàng chưa hoàn thành hoặc đơn hàng đã đánh giá]
[2024-07-29 11:48:47] 	GET /api/order/view-rating/2?page=1 [status: 500 - message: Không tìm thấy món ăn]
[2024-07-29 13:58:46] 	GET /api/admin/order/online/history-list [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-07-29 14:28:02] 	GET /api/admin/order/online/history/669b2ec76de091210e699673 [status: 500 - message: Mã đơn hàng không hợp lệ]
