[2024-08-02 03:11:42] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:11:42] 	POST /api/tms/update-status-order [status: 500 - message: Status is not valid] - body: {"status":4,"order_id":"666458f9d8f8927ab0cbf5f4","delivery_notes":"Giao hang thanh cong"}
[2024-08-02 03:37:44] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:37:44] 	POST /api/tms/update-status-order [status: 500 - message: Status is not valid] - body: {"status":5,"order_id":"66a93d6ac31b00d372e92937","delivery_notes":"Giao hang thanh cong"}
[2024-08-02 03:39:11] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:39:12] 	POST /api/tms/update-status-order [status: 500 - message: Status is not valid] - body: {"status":5,"order_id":"66a93d6ac31b00d372e92937","delivery_notes":"Giao hang thanh cong"}
[2024-08-02 03:39:48] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:40:38] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:42:09] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:43:14] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:44:08] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:50:29] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:51:08] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:51:41] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:53:09] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:53:15] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:15] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:15] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:15] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:53:15] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:53:16] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:53:24] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:24] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:24] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:53:24] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:24] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:53:24] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:53:31] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:31] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:31] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:53:31] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:53:31] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:53:31] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:09] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:54:09] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:54:09] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 03:54:09] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:10] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:10] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:11] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:11] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:11] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:12] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:12] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:12] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:14] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:14] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:14] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:14] 	OPTIONS /api/order/menu/search?keyword= [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:14] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:14] 	OPTIONS /api/order/online/provinces [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:14] 	OPTIONS /api/order/promotion [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:14] 	OPTIONS /api/order/category/get-all [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:14] 	OPTIONS /api/order/menu/get-list [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:14] 	GET /api/order/menu/search?keyword= [status: 500 - message: Thiếu từ khóa tìm kiếm]
